,ID,Date,Price,Bedrooms,Bathrooms,Sqft_living,Sqft_lot,Floors,Condition,Grade,Sqft_above,Sqft_basement,Year_built,Location
0,1000102,20140916T000000,280000,6,3,2400,9373,2,3,7,2400,0,1991,98002 - Auburn
1,1000102,20150422T000000,300000,6,3,2400,9373,2,3,7,2400,0,1991,98002 - Auburn
2,1200019,20140508T000000,647500,4,1.75,2060,26036,1,4,8,1160,900,1947,98166 - Seattle
3,1200021,20140811T000000,400000,3,1,1460,43000,1,3,7,1460,0,1952,98166 - Seattle
4,2800031,20150401T000000,235000,3,1,1430,7599,1.5,4,6,1010,420,1930,98168 - SeaTac
5,3600057,20150319T000000,402500,4,2,1650,3504,1,3,7,760,890,1951,98144 - Seattle
6,3600072,20150330T000000,680000,4,2.75,2220,5310,1,5,7,1170,1050,1951,98144 - Seattle
7,3800008,20150224T000000,178000,5,1.5,1990,18200,1,3,7,1990,0,1960,98178 - Tukwila
8,5200087,20140709T000000,487000,4,2.5,2540,5001,2,3,9,2540,0,2005,98108 - Tukwila
9,6200017,20141112T000000,281000,3,1,1340,21336,1.5,4,5,1340,0,1945,98032 - Tukwila
10,7200080,20141104T000000,239000,4,2,1980,10585,1.5,2,6,1980,0,1924,98055 - Renton
11,7200179,20141016T000000,150000,2,1,840,12750,1,3,6,840,0,1925,98055 - Renton
12,7200179,20150424T000000,175000,2,1,840,12750,1,3,6,840,0,1925,98055 - Renton
13,7400062,20140521T000000,299800,2,1,790,5240,1,4,6,790,0,1925,98118 - Seattle
14,7600057,20140805T000000,520000,3,2,1410,2700,2,4,7,1410,0,1902,98122 - Seattle
15,7600065,20140605T000000,465000,3,2.25,1530,1245,2,3,9,1050,480,2014,98122 - Seattle
16,7600125,20141218T000000,630000,5,1,3020,4800,2,3,7,3020,0,1901,98122 - Seattle
17,7600136,20140718T000000,411000,2,2,1130,1148,2,3,9,800,330,2007,98122 - Seattle
18,9000025,20141203T000000,496000,2,1,1420,4635,2,4,7,1420,0,1941,98115 - Seattle
19,11200070,20140721T000000,570000,3,2.5,1530,3296,2,3,8,1530,0,1998,98007 - Bellevue
20,11200290,20140609T000000,546000,3,2.5,1530,3464,2,3,8,1530,0,1998,98007 - Bellevue
21,11200400,20140923T000000,617000,3,2.5,1910,4488,2,3,8,1910,0,1998,98007 - Bellevue
22,11300120,20140630T000000,635000,3,2.5,3350,4007,2,3,8,2550,800,2005,98034 - Bothell
23,11500240,20150428T000000,872750,3,2.5,2870,13695,2,3,10,2870,0,1991,98052 - Redmond
24,11500890,20150312T000000,843000,3,2.5,3130,8750,2,3,10,3130,0,1991,98052 - Redmond
25,11501160,20140617T000000,837700,5,2.75,3010,12611,2,3,10,3010,0,1994,98052 - Redmond
26,11501310,20141121T000000,715000,3,3.25,3060,9055,2,3,10,2460,600,1994,98052 - Redmond
27,11501330,20140902T000000,795000,3,3.5,3190,10223,2,3,10,2560,630,1994,98052 - Redmond
28,11510310,20140905T000000,835000,4,2.75,3130,13412,2,3,9,2140,990,1993,98052 - Redmond
29,11510700,20140519T000000,755000,4,2.5,2660,10452,2,3,9,2660,0,1993,98052 - Redmond
30,11520030,20140624T000000,640000,4,2.5,2341,9594,2,3,9,2341,0,1997,98052 - Redmond
31,11520200,20141015T000000,750000,4,2.5,3020,13122,2,3,9,2540,480,1997,98052 - Redmond
32,11520370,20141229T000000,738000,3,2.5,2620,9112,2,3,9,2620,0,1995,98052 - Redmond
33,11520640,20140801T000000,810000,4,2.75,3010,10450,2,3,9,3010,0,1996,98052 - Redmond
34,11900140,20140509T000000,254000,3,2.5,1850,4597,2,3,8,1850,0,2003,98042 - Covington
35,13001215,20150305T000000,130000,3,1,1100,5100,1,4,7,1100,0,1913,98108 - Tukwila
36,13001795,20141014T000000,319500,4,2.75,2500,5100,1.5,4,7,1420,1080,1907,98108 - Tukwila
37,13001991,20140902T000000,207000,3,2.5,1520,2550,2,3,7,1520,0,2005,98108 - Tukwila
38,13002460,20150318T000000,205000,2,1.75,1740,5100,1,3,6,580,1160,1915,98108 - Tukwila
39,13002495,20140707T000000,295000,3,1.5,1640,7222,2,4,7,1640,0,1908,98108 - Tukwila
40,16000015,20150417T000000,219950,3,1.5,1070,6601,1,3,6,1070,0,1985,98002 - Auburn
41,16000200,20141024T000000,250000,3,2.25,1640,4420,2,4,7,1640,0,1918,98002 - Auburn
42,16000397,20141205T000000,189000,2,1,1200,9850,1,4,7,1200,0,1921,98002 - Auburn
43,16000435,20150316T000000,218500,2,1,1600,8961,1,4,7,1390,210,1949,98002 - Auburn
44,16000545,20150312T000000,250000,4,1,1320,11212,1,5,6,1320,0,1914,98002 - Auburn
45,23500180,20140505T000000,570000,3,2.25,2010,6000,1,3,8,1330,680,1975,98052 - Redmond
46,23500190,20141008T000000,515000,4,2.25,2470,7800,1,3,8,1470,1000,1975,98052 - Redmond
47,23500220,20141015T000000,550120,5,2.5,2620,8050,1,3,8,1520,1100,1975,98052 - Redmond
48,23520190,20150316T000000,490000,3,1.75,1470,9750,1,4,7,1470,0,1978,98052 - Redmond
49,23520380,20140909T000000,539000,3,1.75,1790,9860,1,4,7,1410,380,1978,98052 - Redmond
50,31200020,20150319T000000,1040000,5,2.75,3050,8904,1,4,8,1650,1400,1956,98040 - Mercer Island
